_startofquery
"Current Time: 10/07/2022 20:48:26"
"Servername: LAPTOP-L0P7GP6U"
"Sample StartDate: 05/06/2022 10:00:51"
"Sample EndDate: 05/06/2022 10:46:51"
"Number of Data Samples:  16560"
Tagname:  	Date/Time: 	Value: 	Quality: 	Comments:
SCADA1.FT001.F_CV 	06/05/2022 10:00:52 	8,475104 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:00:53 	8,714802 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:00:54 	8,391282 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:00:55 	8,323524 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:00:56 	8,318985 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:00:57 	8,311637 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:00:58 	8,260645 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:00:59 	8,352747 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:00 	8,475097 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:01 	8,426317 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:02 	8,621229 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:03 	8,512424 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:04 	8,478896 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:05 	8,561455 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:06 	8,488808 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:07 	8,477111 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:08 	8,446388 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:09 	8,507027 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:10 	8,427839 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:11 	8,414708 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:12 	8,551096 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:13 	8,62723 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:14 	8,592491 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:15 	6,465693 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:01:16 	3,464522 	Good 	
